E01293	R00057	E01889
E00422	R00082	E00772
E00173	R00022	E00131
E00052	R00073	E00217
E01504	R00011	E01049
E00371	R00020	E00721
E00114	R00034	E00968
E01665	R00079	E00794
E00602	R00063	E00992
E00588	R00018	E00748
E01144	R00007	E00231
E00888	R00050	E00319
E01398	R00082	E01455
E01082	R00084	E01326
E01581	R00034	E01982
E00982	R00063	E00935
E01935	R00039	E00620
E00871	R00048	E00150
E00313	R00025	E01334
E01723	R00082	E00008
E01128	R00076	E01283
E01440	R00068	E01393
E00085	R00043	E00744
E00695	R00075	E00271
E00874	R00010	E00111
E00060	R00037	E01721
E01957	R00042	E00730
E00548	R00040	E01409
E01468	R00055	E00232
E01811	R00023	E01077
E00773	R00084	E00509
E00085	R00015	E01787
E01188	R00050	E00127
E00119	R00061	E00233
E01925	R00022	E00955
E01032	R00079	E01266
E01885	R00028	E00565
E01818	R00018	E00950
E00737	R00050	E00882
E00548	R00058	E00687
E00928	R00041	E01469
E01023	R00055	E01660
E00163	R00084	E00794
E00999	R00054	E00565
E01675	R00061	E00780
E01067	R00021	E00769
E01423	R00024	E00632
E00505	R00075	E00892
E01957	R00014	E01055
E00428	R00054	E01493
E01464	R00043	E01346
E01953	R00003	E00334
E00647	R00084	E00728
E00045	R00066	E01377
E01227	R00079	E00583
E01523	R00027	E01454
E01105	R00045	E00729
E00236	R00058	E00325
E00566	R00064	E01690
E01221	R00082	E00106
E01142	R00052	E01486
E00603	R00014	E01445
E00152	R00051	E00790
E00398	R00060	E00994
E01725	R00050	E00214
E00970	R00084	E01090
E00383	R00046	E00976
E01787	R00027	E01534
E01054	R00026	E00928
E00934	R00050	E01745
E01604	R00025	E01994
E01569	R00055	E00696
E01538	R00078	E00064
E00203	R00018	E01054
E01932	R00050	E00849
E00071	R00014	E00314
E00472	R00063	E00983
E01440	R00015	E01473
E00735	R00003	E01599
E00998	R00042	E01600
E01753	R00041	E01758
E00512	R00076	E00930
E01990	R00075	E00355
E00645	R00079	E01944
E00644	R00082	E01630
E01273	R00010	E00696
E00051	R00085	E01263
E00671	R00063	E00940
E01845	R00050	E01149
E01795	R00001	E01116
E00310	R00079	E01653
E01046	R00003	E01668
E01241	R00063	E00358
E01755	R00085	E00942
E01636	R00034	E01864
E01054	R00069	E00435
E01532	R00014	E01279
E01611	R00046	E00452
E01989	R00003	E00436
E01681	R00025	E01464
E00107	R00030	E00079
E01076	R00054	E00295
E01535	R00076	E01204
E00339	R00059	E01306
E01809	R00063	E01346
E01399	R00012	E01228
E00373	R00015	E00030
E00421	R00012	E01248
E00875	R00002	E00009
E00008	R00040	E01969
E01062	R00038	E00374
E00926	R00079	E01819
E01901	R00060	E01938
E01037	R00050	E00338
E00447	R00032	E00944
E00154	R00028	E01477
E01901	R00060	E00588
E00644	R00025	E01848
E00980	R00084	E01569
E01784	R00034	E00314
E01454	R00027	E01523
E00258	R00015	E01332
E01190	R00047	E00433
E00331	R00032	E00741
E01600	R00078	E00970
E01315	R00037	E01514
E00825	R00084	E01561
E00261	R00066	E00224
E01912	R00034	E01359
E00119	R00044	E01649
E00515	R00039	E01935
E01249	R00034	E00091
E01418	R00039	E01357
E00237	R00025	E00833
E00293	R00081	E00268
E00599	R00043	E01818
E01282	R00041	E00951
E01112	R00039	E01493
E00565	R00054	E00999
E00997	R00025	E00817
E01195	R00009	E01267
E00824	R00002	E00318
E01762	R00082	E01270
E01745	R00022	E01623
E00775	R00007	E01598
E00787	R00063	E00962
E01221	R00032	E01794
E01072	R00051	E01853
E01589	R00050	E00613
